"","idx","runs","appraiser","part"
"1",55,7,1,1
"2",6,1,2,3
"3",64,8,1,1
"4",87,10,2,3
"5",3,1,1,3
"6",27,3,3,3
"7",32,4,2,2
"8",51,6,2,3
"9",89,10,3,2
"10",34,4,3,1
"11",66,8,1,3
"12",8,1,3,2
"13",45,5,3,3
"14",40,5,2,1
"15",75,9,1,3
"16",69,8,2,3
"17",23,3,2,2
"18",38,5,1,2
"19",88,10,3,1
"20",16,2,3,1
"21",60,7,2,3
"22",22,3,2,1
"23",90,10,3,3
"24",68,8,2,2
"25",83,10,1,2
"26",63,7,3,3
"27",21,3,1,3
"28",86,10,2,2
"29",48,6,1,3
"30",61,7,3,1
"31",12,2,1,3
"32",59,7,2,2
"33",62,7,3,2
"34",11,2,1,2
"35",14,2,2,2
"36",18,2,3,3
"37",52,6,3,1
"38",47,6,1,2
"39",17,2,3,2
"40",35,4,3,2
"41",2,1,1,2
"42",67,8,2,1
"43",41,5,2,2
"44",19,3,1,1
"45",50,6,2,2
"46",28,4,1,1
"47",42,5,2,3
"48",25,3,3,1
"49",5,1,2,2
"50",13,2,2,1
"51",20,3,1,2
"52",71,8,3,2
"53",7,1,3,1
"54",36,4,3,3
"55",65,8,1,2
"56",44,5,3,2
"57",4,1,2,1
"58",31,4,2,1
"59",37,5,1,1
"60",85,10,2,1
"61",29,4,1,2
"62",43,5,3,1
"63",77,9,2,2
"64",80,9,3,2
"65",10,2,1,1
"66",26,3,3,2
"67",24,3,2,3
"68",49,6,2,1
"69",9,1,3,3
"70",82,10,1,1
"71",56,7,1,2
"72",33,4,2,3
"73",76,9,2,1
"74",30,4,1,3
"75",54,6,3,3
"76",81,9,3,3
"77",84,10,1,3
"78",70,8,3,1
"79",78,9,2,3
"80",39,5,1,3
"81",72,8,3,3
"82",1,1,1,1
"83",79,9,3,1
"84",58,7,2,1
"85",74,9,1,2
"86",15,2,2,3
"87",53,6,3,2
"88",73,9,1,1
"89",57,7,1,3
"90",46,6,1,1
