"","idx","runs","appraiser","part"
"1",44,5,3,2
"2",31,4,2,1
"3",29,4,1,2
"4",38,5,1,2
"5",18,2,3,3
"6",45,5,3,3
"7",2,1,1,2
"8",28,4,1,1
"9",25,3,3,1
"10",24,3,2,3
"11",11,2,1,2
"12",39,5,1,3
"13",41,5,2,2
"14",33,4,2,3
"15",30,4,1,3
"16",34,4,3,1
"17",26,3,3,2
"18",6,1,2,3
"19",10,2,1,1
"20",27,3,3,3
"21",9,1,3,3
"22",3,1,1,3
"23",17,2,3,2
"24",23,3,2,2
"25",5,1,2,2
"26",8,1,3,2
"27",42,5,2,3
"28",43,5,3,1
"29",19,3,1,1
"30",32,4,2,2
"31",12,2,1,3
"32",21,3,1,3
"33",20,3,1,2
"34",40,5,2,1
"35",15,2,2,3
"36",36,4,3,3
"37",16,2,3,1
"38",4,1,2,1
"39",14,2,2,2
"40",1,1,1,1
"41",13,2,2,1
"42",7,1,3,1
"43",37,5,1,1
"44",22,3,2,1
"45",35,4,3,2
